komentar,komentar_bersih
"Ini gara"" PSSI salah pilih pengganti sty, yg di pilih pelatih minim taktik dan track record kepelatihannya tidak oke 🤦‍♀️",gara pssi salah pilih ganti sty pilih pelatih minim taktik track record latih oke
Bazer,bazer
LEBIH BAIK KALAH DAN PULANG BARENG SINTAYONG,kalah pulang bareng sintayong
Momen yg akan jadi bersejarah tapi dirusak oleh segelintir orang demi keuntungan pribadi dan nafsu politik,momen sejarah rusak gelintir orang untung pribadi nafsu politik
"Trs juga STY knp di pecat ? STY pernah bicara , dia di panggil Erik Thohir jam09:30 WIB, dan di kasih surat pembatalan kepelatihan.. dan Sty mengakui kalo dia punya masalah dia terima di pecat , tapi kata sty aneh dia GK punya masalah di pecat 😅",sty pecat sty bicara panggil erik thohir jam wib kasih surat batal latih sty aku kalo terima pecat sty aneh pecat
Tidak perlu banyak bicara yang paling salah Patrick Kluivert,bicara salah patrick kluivert
Kesalahannya terlalu banyak gonta ganti..entah pelatih maupun.pemain..,salah gonta gantientah pelatih maupunpemain
"Mark klok sama beckham itu pemain kontroversial, kulik aja rekam jejak keduanya Makanya kenapa mereka berani ngatur bang jay Klok udah di bayar buat ngancurin timnas Masih penuh mafia ni timnas",mark klok beckham pemain kontroversial lik rekam jejak berani ngatur bang jay klok udah bayar ngancurin timnas penuh mafia ni timnas
"“Lu belum coba P͟U͟L͟A͟U͟W͟I͟N?” Belum, karena gue bahkan gak tau itu apa 😭",coba pulauwin
"Next kalo fmd pk d pecat jangan buru2 cari pelatih dlu. Cuba naikan alex pastur. Kalo emng pk bersitegang dengan alex pastur brarty ada perselisihan yg terjadi, alex mungkin nyarankan formasi bertahan kya dlu dan pemain2 ini itu. Tapi pk gk pengen dn tetap dengan skema menyerang dn keputusan memilih pemain ada d tangan pk, jdi alex gk bisa ngapai2n",next kalo fmd pk pecat buru cari pelatih dlu cuba naik alex pastur kalo emng pk bersitegang alex pastur brarty selisih alex nyarankan formasi tahan kya dlu pemain pk ken dn skema serang dn putus pilih pemain tangan pk alex ngapai
"Silahkan kalau mau percaya atau tidak, cari tau sendiri seberapa kontroversialnya itu klok",silah percaya cari kontroversial klok
Terlalu banyak mafia bola nya. Indonesia gak bkln maju sepak bola nya 😢,mafia bola indonesia bkln maju sepak bola
So bijak. Dongo juga coba ngasih saran buat mikir.,so bijak dongo coba ngasih saran mikir
"Mau siapapun pelatihnya kalo pssi nya bobrok kaya gini terus,, ga bakalan maju timnas ini,,",latih kalo pssi bobrok kaya gin maju timnas
Pemain naturalisasi harusnya cukup 1 saja dari jepang yaitu kapten tsubasa😮,pemain naturalisasi jepang kapten tsubasa
gak ngurus,ngurus
Mulai sekarang fokuskan ke pembenahan liga Indonesia stop dulu naturalisasi 1 tahun ini,fokus benah liga indonesia stop naturalisasi
Towelasu Kemana Dia Yahh,towelasu mana yahh
Gue kira ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 itu nama film Netflix baru loh.,nama film netflix loh
Emang lebih cocok counter attack aja dah wkwkwk,emang cocok counter attack dah
Nyeseknya Tu Kalah Tipis Sih Kalah 3-2 Ama Kalah 1-0,nyeseknya tu kalah tipis kalah ama kalah
mimpi2 yg sudah hilang 😂,mimpi hilang
"Lansung ngakak pas cari kambing hitam untuk di salahin pelatih, pemain , wasit bahkan tuhan",lansung ngakak cari kambing hitam salahin pelatih pemain wasit tuhan
"Ngerekrut pelatih cuma suruh jdi Abang abangan doang, sama alasannya natal mau datang 😂😂😂😂😂",ngerekrut pelatih suruh abang abangan doang alas natal
Gue rasa kalo era Sty kalo hanya Arab Saudi kemarin bisa menang dan irak bisa imbang apalgi pemainya sudah bagus begitu,kalo era sty kalo arab saudi kemarin menang irak imbang apalgi mai bagus
Hari patah hati💔💔,patah hati
Bayangin bayangin aja dulu pemain sudah lengkap straiker sudah ada ole sty yang megang yakin beda lagi cerita karna kita SMA arab Irak permainan sudah setara harapan di depan mata di sia siakan padahal biarkan sty mengerjakan kerjaannya sampai selesai sekalipun gagal kita rela karna sty yang bangun dari nol di saat pemain sudah lengkap sty di buang di pecat dengan alasan komunikasi ini jaman moderen pak itu bukan alasan,bayangin bayangin pemain lengkap straiker ole sty megang beda cerita arab irak main tara harap mata sia sia biar sty kerja selesai gagal rela sty bangun nol pemain lengkap sty buang pecat alas komunikasi jaman moderen alas
Pokoknya jajaran pelatih harus bertanggung jawab.. Di pecat / Lebih gentleman mengundurkan diri.. Dan ganti dengan yang lebih baik lg.. Ini mah dari awal udah lumayan bagus diganti.. Giliran ganti bukanya di upgrade malah downgrade..,pokok jajar pelatih tanggung pecat gentleman undur ganti lg mah udah lumayan bagus ganti gilir ganti buka upgrade downgrade
"Menurut sy Coach Patrick tak pantas dititik beratkan kesalhan timnas gagal ke pildun krn segitulah kmampuannya, yg pantas kt slahkan adalh pssi sbb menggantikan coach sty yg mampu membuat timnas saat itu dperhitung untuk lolos ke pildun dg pelatih hebat katanya dengan 0 prestasi melatih, Bila timnas gagal ke pildun ditangan sty saya baru merasa ikhlas krna mmng itulah kemampuan timnas kita krn timnas dilatih oleh sty yg mampu buat timnas asyik dan indah untuk ditonton",sy coach patrick titik rat kesalhan timnas gagal pildun segitulah kmampuannya kt slah adalh pssi sbb ganti coach sty timnas dperhitung lolos pildun dg pelatih hebat prestasi latih timnas gagal pildun tang sty ikhlas krna mmng mampu timnas timnas latih sty timnas asyik indah tonton
Erik tohir biang kegagalan timnas indonesia,erik tohir biang gagal timnas indonesia
Ulah mafia bola maka sty diganti penjudi semua,ulah mafia bola sty ganti judi
"Memang si negara Asean kembali ke piala asia aja, ke kanca dunia jangan dulu lah😅",si negara asean piala asia kanca dunia
$Kruivertout Alex pastor atau indra Sjahri in dengan catatan masa percobaan sampai FIFA match day Juni 2026,kruivertout alex pastor indra sjahri in catat coba fifa match day juni
🗣️ Pak sumarji : setelah saya membaca line up. Dalam hati saya sebentar EL BINTANG LAUT C A I R,sumarji baca line up hati sebentar el bintang laut
Penyakit sepak bola indonesia yg harus diobatin: 1. Periksa mafia2nya jangan sampai terus menggerogoti bisa2 indonesia kembali ke setelan pabrik dan tidak akan pernah maju 2. Kasih obat yg ampuh untuk menenangkan semua pihak yg terlibat 3. Perlu pemulihan selama berbulan bulan agar indonesia bisa move on,sakit sepak bola indonesia diobatin periksa mafia gerogot indonesia setel pabrik maju kasih obat ampuh tenang libat pulih bulan indonesia move on
Erik Tohir pante,erik tohir pante
Pecat kluivert dan erick tohir Ini bukan masalah benci mereka tapi ini konsekuensi pemimpin yang gagal Toh masih banyak manusia lainnya yg kompeten juga dibidangnya Dari dulu asosiasi sepakbola dipimpin orang biasa bukan atlet apalagi atlet bola Gila gak tuh,pecat kluivert erick tohir benci konsekuensi pimpin gagal manusia kompeten bidang asosiasi sepakbola pimpin orang atlet atlet bola gila tuh
