komentar,komentar_bersih
"Rasa sakit ini akan diingat sampai 2 tahun kedepannya, PSSI wajib punya blueprint 2040, soal peningkatan liga, pembinaan dan timnas, kalau mau niat ke Piala Dunia, 2030 wajib lolos piala dunia, jangan ada politik di sepakbola.",sakit depan pssi wajib blueprint tingkat liga bina timnas niat piala dunia wajib lolos piala dunia politik sepakbola
Menguatkan hati untuk menonton video ini😢😢,kuat hati tonton video
kami tidak butuh hiburan kami lebih butuh kemenangan,butuh hibur butuh menang
Mereka semua wajib di Pecat,wajib pecat
"Kata pak ketum nya juga ""ngimpi kok masuk pildun😂"" kocak seorang ketua federasi bisa berstatment macam itu",tum ngimpi masuk pildun kocak ketua federasi berstatment
Mereka mafia yg tersembunyi,mafia sembunyi
Engga segitunya kok bro...,engga segitunya
​ @Ubique72 segituny,segituny
😢fKarena management pssi dibawah ET timnas bisa melangkah jauh sampai dititik sekarang. Sadar bro dulu timnas masuk piala asia pun sulit apalagi bermimpi masuk piala dunia,fkarena management pssi bawah et timnas lang titik sadar timnas masuk piala asia sulit mimpi masuk piala dunia
"​ @RaskalGg-s1s iya bro, cmn mafia pssi ttep ga mau kalah bro. Indonesia lolos, mafia boncos",iya cmn mafia pssi ttep kalah indonesia lolos mafia boncos
Orang pssi kalo didepan kamera sok sedih bro,orang pssi kalo depan kamera sok sedih
Ya iya lah ketawa kalau gak aneh aneh cara kelola pemain timnas udah masuk pildun,ya iya ketawa aneh aneh kelola pemain timnas udah masuk pildun
"Punya bukti bangg ,",bukti bangg
Towel Sruh mandii,towel sruh mandi
Kalau negaranya belom bubar 😂,negara bom bubar
Wiiiiiiiiiiihhhhhhh,wiiiiiiiiiiihhhhhhh
Keputusan blunder PSSI pecat sty 😡😭,putus blunder pssi pecat sty
Semua bertanggung jawab 🤔🤔🤔,tanggung
Aamiin,aamiin
Mending jajang nurjaman jd pelatih dr pda sty,mending jajang nurjaman pelatih pda sty
