komentar,komentar_bersih
​ @fely7488 caiiirrr caiirr😅😂😂,caiiirrr caiirr
Saya tambahin satu.. Arya sinulingga,tambahin arya sinulingga
Pembisnis mana mau lahannya di ambil orang lain,bisnis lahan ambil orang
"Yang ngomel² paling bocil-bocil IQ 78😂 Nggak ada saat ini ketum PSSI yang lebih baik dari Erick Thohir Mintanya Tisna, waduh....bakal ngeri² sedep timnas dipegang Tisna, gk ngerti politik, dah gitu yg paling penting, pergaulan di dunia sepakbola internasional nggak ada...macam orang cupu😂 Yang ada Tisna sebentar, habis itu diganti Nurdin Halid😂",ngomel bocilbocil iq tum pssi erick thohir minta tisna waduhbakal ngeri sedep timnas pegang tisna ngerti politik dah gitu gaul dunia sepakbola internasional adamacam orang cupu tisna sebentar habis ganti nurdin halid
"setuju bikin gedeg , apalagi yg suka bisik bisikin gajelas",tuju bikin gedeg suka bisik bisikin gajelas
"Ganti Kluivert doang, jangan ganti semua fondasi",ganti kluivert doang ganti fondasi
​ @fahrurrazikin6876 kalau itu aku setuju ganti Kluivert nya jangan segorombolan bg,tuju ganti kluivert segorombolan bg
Berharap Alex pastor jadi head coah,harap alex pastor head coah
DEWASA..mantap kang,dewasamantap kang
Ganti PK...Dia yg ngotot ama line up pas lawan arab sampai debat parah ama pastor ama landzat,ganti pkdia ngotot ama line up lawan arab debat parah ama pastor ama landzat
"Mumpung piala Asia masih 2027...ayo latihan lagi dan sering2 uji yg tanding. Klo saya sih, tatap bertahan dgn yg ada sekarang. 🙏",mumpung piala asia ayo latih uji tanding tatap tahan
​ @bung_oks terutama hrs berani away maennya pas jeda internasional jngan home mulu,hrs berani away maennya jeda internasional jngan home mulu
Hhh sama saja Krn mereka bertiga 3 satu tim masa si ga ada komunikasi ke 3 org ini kan lawak 🤭,hhh tiga tim si komunikasi orang lawak
"PK aja yang ganti, bisa sama prank rikaj, Van Bronckhorst atau Edgar Davids semua keturunan Indonesia 😂😂😂",pk ganti prank rikaj van bronckhorst edgar davids turun indonesia
"Dengan squad mewah yang sekarang,, kaya nya yang paling cocok latih timnas itu ,, luis milla aspas,karna cuma dia yang bisa buat timnas main bagus dan hebat meski dengan pemain alakadar nya,, petsefsi gua yah..",squad mewah kaya cocok latih timnas luis milla aspaskarna timnas main bagus hebat pemain alakadar petsefsi yah
Towel aja suruh gabung timnas,towel suruh gabung timnas
"Gak bakal jadi bagus gaesss, maupun Kluivertnya dibuang. Lihat aja organisasi pertahanan indo lawan Arab Saudi era sty dan era pelatih2 belanda ini. Dibahas jeje sama bung harpa, cari aja. Ada gambar2nya juga. Bisa dilihat emang pelatih sekarang itu kurang pinter ketimbang sty.",bagus gaesss kluivertnya buang lihat organisasi tahan indo lawan arab saudi era sty era pelatih belanda bahas jeje harpa cari gambar emang pelatih pinter ketimbang sty
Mna mungkin Erik pecat kepala pelatih...mereka ngak cuan dong...#mafia😂,mna erik pecat kepala pelatihmereka ngak cuan mafia
Uda ganti pk.. Gk pake neko2 lagi uda jelas gus dur bilang pelatih bermata sipit yg bisa meloloskan Indonesia ke pildun,uda ganti pk pake neko uda gus dur bilang pelatih mata sipit lolos indonesia pildun
"Yang hampir 5 tahun berdarah2 bangun pondasi timnas aja ""mereka"" berani ganti,apa susah nya yang baru 8 bulan diganti juga,mumpung belum keliatan hasil nya,mumpung ngga di tengah2 kompetisi kaya yg sebelum nya,justru sekarang saat yg tepat untuk merombak total staff kepelatihan,agar kebodohan mengganti semua staff kepelatihan dipertengahan kompetisi,tidak terulang",darah bangun pondasi timnas berani gantiapa susah ganti jugamumpung liat hasil nyamumpung ngga kompetisi kaya nyajustru rombak total staff kepelatihanagar bodoh ganti staff latih tengah kompetisitidak ulang
"​ @AtutJusuf betul, percuma jika setengah setengah,KLO emang jagoan Pastore ketimbang PK, kenapa musti rekrut tuh orang?, Setuju banget sih, lagian Pastore belum punya pengalaman banyak di level senior.",setengahklo emang jago pastore ketimbang pk musti rekrut tuh orang tuju pastore alam level senior
Pasti ini buzzernya arya,buzzernya arya
Yg harus dirombak total pertama adalah PSSI nya,rombak total pssi
Mantap setuju,mantap tuju
